Zone,Area,Year,Month,Total,Resolved,Pending
West Delhi,Rajouri Garden,2025,10,1300,1170,130
West Delhi,Najafgarh,2025,10,1250,1125,125
West Delhi,Janakpuri,2025,10,1280,1152,128
West Delhi,Paschim Vihar,2025,10,1200,1080,120
West Delhi,Moti Nagar,2025,10,1180,1062,118
North Delhi,Civil Lines,2025,10,1100,990,110
North Delhi,Model Town,2025,10,1050,945,105
North Delhi,Karol Bagh,2025,10,1020,918,102
North Delhi,Shastri Nagar,2025,10,1000,900,100
North Delhi,DTU Campus,2025,10,980,882,98
South Delhi,Hauz Khas,2025,10,1150,1035,115
South Delhi,Saket,2025,10,1120,1008,112
South Delhi,Malviya Nagar,2025,10,1080,972,108
South Delhi,Greater Kailash,2025,10,1050,945,105
South Delhi,Defence Colony,2025,10,1020,918,102
East Delhi,Laxmi Nagar,2025,10,980,882,98
East Delhi,Mayur Vihar,2025,10,950,855,95
East Delhi,Preet Vihar,2025,10,930,837,93
East Delhi,Kondli,2025,10,910,819,91
East Delhi,Patparganj,2025,10,900,810,90
Central Delhi,Connaught Place,2025,10,970,873,97
Central Delhi,Karol Bagh,2025,10,960,864,96
Central Delhi,Chandni Chowk,2025,10,940,846,94
